timestamp,metadata.location,metadata.sensorId,acceleration.x,acceleration.y,acceleration.z,_id
2025-01-07T08:53:58.000Z,3P_2HP,ACCEL001,0.02838,0.01422,9.786779,677ceba4bafc1a5dacbd4c0a
2025-01-07T08:53:58.000Z,3P_2HP,ACCEL001,-0.01854,-0.0363,9.833321,677ceba4bafc1a5dacbd4c04
2025-01-07T08:53:58.000Z,3P_2HP,ACCEL001,-0.00828,-0.0054,9.785841,677ceba4bafc1a5dacbd4c0d
2025-01-07T08:53:58.000Z,3P_2HP,ACCEL001,0.0187,-0.00986,9.801721,677ceba4bafc1a5dacbd4c10
2025-01-07T08:53:58.000Z,3P_2HP,ACCEL001,0.01846,-0.01636,9.82918,677ceba4bafc1a5dacbd4c07
2025-01-07T08:53:58.000Z,3P_2HP,ACCEL001,-0.00838,-0.02332,9.85158,677ceba4bafc1a5dacbd4c13
2025-01-07T08:53:59.000Z,3P_2HP,ACCEL001,-0.02678,0.00118,9.82088,677ceba5bafc1a5dacbd4c22
2025-01-07T08:53:59.000Z,3P_2HP,ACCEL001,-0.00864,0.01468,9.82854,677ceba6bafc1a5dacbd4c31
2025-01-07T08:53:59.000Z,3P_2HP,ACCEL001,-0.0495,0.03148,9.81318,677ceba5bafc1a5dacbd4c2e
2025-01-07T08:53:59.000Z,3P_2HP,ACCEL001,-0.00702,-0.00794,9.82052,677ceba5bafc1a5dacbd4c28
2025-01-07T08:53:59.000Z,3P_2HP,ACCEL001,-0.03788,-0.00302,9.772201,677ceba5bafc1a5dacbd4c2b
2025-01-07T08:53:59.000Z,3P_2HP,ACCEL001,-0.0217,-0.00166,9.7796,677ceba5bafc1a5dacbd4c25
2025-01-07T08:53:59.000Z,3P_2HP,ACCEL001,0.0017,-0.00646,9.794661,677ceba5bafc1a5dacbd4c16
2025-01-07T08:53:59.000Z,3P_2HP,ACCEL001,0.00536,0.00336,9.7979,677ceba5bafc1a5dacbd4c19
2025-01-07T08:53:59.000Z,3P_2HP,ACCEL001,-0.01902,0.00148,9.80052,677ceba5bafc1a5dacbd4c1c
2025-01-07T08:53:59.000Z,3P_2HP,ACCEL001,-0.02044,-0.01078,9.808541,677ceba5bafc1a5dacbd4c1f
2025-01-07T08:54:00.000Z,3P_2HP,ACCEL001,0.01262,-0.0159,9.836621,677ceba7bafc1a5dacbd4c43
2025-01-07T08:54:00.000Z,3P_2HP,ACCEL001,-0.02634,-0.015,9.82596,677ceba7bafc1a5dacbd4c4f
2025-01-07T08:54:00.000Z,3P_2HP,ACCEL001,0.02794,0.02226,9.7721,677ceba7bafc1a5dacbd4c4c
2025-01-07T08:54:00.000Z,3P_2HP,ACCEL001,0.00708,-0.00654,9.792722,677ceba7bafc1a5dacbd4c49
